Pair,Contract
SNX / ETH,0x79291A9d692Df95334B1a0B3B4AE6bC606782f8c
SNX / USD,0xDC3EA94CD0AC27d9A86C180091e7f78C683d3699
SUSD / ETH,0x8e0b7e6062272B5eF4524250bFFF8e5Bd3497757
SUSHI / ETH,0xe572CeF69f43c2E488b33924AF04BDacE19079cf
SXP / USD,0xFb0CfD6c19e25DB4a08D8a204a387cEa48Cc138f
TRX / USD,0xacD0D1A29759CC01E8D925371B72cb2b5610EA25
TUSD / ETH,0x3886BA987236181D98F2401c507Fb8BeA7871dF2
TUSD Reserves,0x478f4c42b877c697C4b19E396865D4D533EcB6ea
TUSD Supply,0x807b029DD462D5d9B9DB45dff90D3414013B969e
Total Marketcap / USD,0xEC8761a0A73c34329CA5B1D3Dc7eD07F30e836e2
UMA / ETH,0xf817B69EA583CAFF291E287CaE00Ea329d22765C
UNI / ETH,0xD6aA3D25116d8dA79Ea0246c4826EB951872e02e
USDC / ETH,0x986b5E1e1755e3C2440e960477f25201B0a8bbD4
USDK / USD,0xfAC81Ea9Dd29D8E9b212acd6edBEb6dE38Cb43Af
USDT / ETH,0xEe9F2375b4bdF6387aa8265dD4FB8F16512A1d46
WNXM / ETH,0xe5Dc0A609Ab8bCF15d3f35cFaa1Ff40f521173Ea
WOM / ETH,0xcEBD2026d3C99F2a7CE028acf372C154aB4638a9
XAG / USD,0x379589227b15F1a12195D3f2d90bBc9F31f95235
XAU / USD,0x214eD9Da11D2fbe465a6fc601a91E62EbEc1a0D6
XHV / USD,0xeccBeEd9691d8521385259AE596CF00D68429de0
XMR / USD,0xFA66458Cce7Dd15D8650015c4fce4D278271618F
XRP / USD,0xCed2660c6Dd1Ffd856A5A82C67f3482d88C50b12
XTZ / USD,0x5239a625dEb44bF3EeAc2CD5366ba24b8e9DB63F
YFI / ETH,0x7c5d4F8345e66f68099581Db340cd65B078C41f4
ZRX / ETH,0x2Da4983a622a8498bb1a21FaE9D8F6C664939962
sCEX / USD,0x283D433435cFCAbf00263beEF6A362b7cc5ed9f2
sDEFI / USD,0xa8E875F94138B0C5b51d1e1d5dE35bbDdd28EA87
